year,quarter,end_price,start_price,trading_days,quarterly_return_pct,company
2019,3,420.1219482421875,376.075927734375,62,12.0607,Dabur
2019,4,431.8619689941406,412.9828796386719,61,2.7944,Dabur
2020,1,423.9953308105469,433.1808776855469,63,-1.8216,Dabur
2020,2,438.974853515625,409.6753540039063,59,3.5329,Dabur
2020,3,482.5258483886719,439.5871887207031,66,9.9211,Dabur
2020,4,506.4095153808594,485.5974731445313,63,4.9497,Dabur
2021,1,512.57373046875,506.5992431640625,61,1.2172,Dabur
2021,2,539.3641357421875,510.8193664550781,61,5.2266,Dabur
2021,3,588.1586303710938,559.279052734375,63,9.0467,Dabur
2021,4,555.1842041015625,589.0165405273438,63,-5.6064,Dabur
2022,1,513.2139282226562,556.2371826171875,61,-7.5597,Dabur
2022,2,474.689453125,519.1961059570312,62,-7.5065,Dabur
2022,3,551.0538940429688,489.3335571289063,63,16.0872,Dabur
2022,4,542.405029296875,535.8577270507812,62,-1.5695,Dabur
2023,1,526.4165649414062,542.501708984375,62,-2.9477,Dabur
2023,2,553.5150756835938,529.02490234375,60,5.1477,Dabur
2023,3,535.3880004882812,562.4995727539062,63,-3.2749,Dabur
2023,4,543.6184692382812,537.3291625976562,60,1.5373,Dabur
2024,1,510.3984069824219,543.8624267578125,60,-6.1109,Dabur
2024,2,586.0582275390625,516.252197265625,60,14.8237,Dabur
2024,3,612.5733642578125,596.0584106445312,64,4.5243,Dabur
2024,4,497.6060791015625,606.4985961914062,61,-18.7679,Dabur
2017,3,570.4052734375,611.1611328125,63,,Godrej
2017,4,620.8709716796875,591.9395141601562,62,8.8473,Godrej
2018,1,680.0435791015625,612.6708984375,60,9.5306,Godrej
2018,2,767.1199951171875,693.536865234375,64,12.8045,Godrej
2018,3,722.6912841796875,773.0032348632812,61,-5.7916,Godrej
2018,4,766.6055297851562,749.1111450195312,61,6.0765,Godrej
2019,1,657.7003784179688,763.4847412109375,60,-14.2062,Godrej
2019,2,630.8375244140625,642.0520629882812,60,-4.0844,Godrej
2019,3,655.926513671875,632.4549560546875,62,3.9771,Godrej
2019,4,655.0985717773438,648.9597778320312,61,-0.1262,Godrej
2020,1,499.9690856933594,661.60595703125,63,-23.6803,Godrej
2020,2,663.105712890625,526.7506103515625,59,32.6293,Godrej
2020,3,695.8866577148438,666.9933471679688,66,4.9435,Godrej
2020,4,710.477294921875,704.6217651367188,63,2.0967,Godrej
2021,1,700.3982543945312,709.3253784179688,61,-1.4186,Godrej
2021,2,835.3616333007812,697.1824951171875,61,19.2695,Godrej
2021,3,988.6112670898438,852.4479370117188,63,18.3453,Godrej
2021,4,929.5286865234376,979.4440307617188,63,-5.9763,Godrej
2022,1,717.3406982421875,919.2096557617188,61,-22.8275,Godrej
2022,2,727.1798095703125,722.8121948242188,62,1.3716,Godrej
2022,3,873.9498901367188,750.169677734375,63,20.1835,Godrej
2022,4,839.0091552734375,849.5682373046875,62,-3.998,Godrej
2023,1,929.3367919921876,857.6795043945312,62,10.766,Godrej
2023,2,1037.66259765625,925.8330078125,60,11.6562,Godrej
2023,3,951.8466186523438,1018.4163818359376,63,-8.2701,Godrej
2023,4,1091.2227783203125,953.0945434570312,60,14.6427,Godrej
2024,1,1207.5609130859375,1104.34228515625,60,10.6613,Godrej
2024,2,1337.21875,1184.9395751953125,60,10.7372,Godrej
2024,3,1359.2327880859375,1358.795654296875,64,1.6463,Godrej
2024,4,1038.5386962890625,1354.2091064453125,61,-23.5938,Godrej
