REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2017-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Cd,State, Financial Year 2017-18 ,,,,,Jul-17,,,,,Aug-17,,,,,Sep-17,,,,,Oct-17,,,,,Nov-17,,,,,Dec-17,,,,,Jan-18,,,,,Feb-18,,,,,Mar-18,,,,
,, CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL 
19,West Bengal," 6,296 "," 8,971 "," 5,789 "," 2,277 "," 23,333 ", 1 , 1 , 2 , 0 , 3 , 751 ," 1,119 ", 859 , 280 ," 3,009 ", 830 ," 1,183 ", 670 , 259 ," 2,943 ", 694 ," 1,043 ", 709 , 340 ," 2,785 ", 593 ," 1,001 ", 654 , 210 ," 2,458 ", 635 , 957 , 704 , 252 ," 2,548 ", 670 , 991 , 715 , 283 ," 2,658 ", 924 ," 1,183 ", 711 , 355 ," 3,174 "," 1,199 "," 1,494 ", 765 , 297 ," 3,756 "
20,Jharkhand," 1,861 "," 2,749 "," 6,221 "," 3,331 "," 14,162 ", 0 , 0 , 0 , 0 , 0 , 203 , 334 , 686 , 360 ," 1,582 ", 210 , 295 , 697 , 438 ," 1,640 ", 230 , 347 , 715 , 454 ," 1,747 ", 207 , 334 , 830 , 437 ," 1,808 ", 217 , 328 , 739 , 425 ," 1,710 ", 242 , 354 , 883 , 394 ," 1,874 ", 260 , 341 , 795 , 361 ," 1,757 ", 293 , 414 , 875 , 462 ," 2,044 "
21,Odisha," 2,685 "," 3,769 "," 4,154 "," 4,241 "," 14,849 ", 0 , 0 , 0 , 0 , 0 , 318 , 471 , 556 , 565 ," 1,910 ", 332 , 451 , 468 , 466 ," 1,716 ", 322 , 530 , 481 , 468 ," 1,801 ", 309 , 444 , 524 , 508 ," 1,784 ", 302 , 401 , 506 , 497 ," 1,705 ", 355 , 471 , 542 , 590 ," 1,959 ", 357 , 486 , 517 , 622 ," 1,982 ", 391 , 515 , 560 , 525 ," 1,991 "
22,Chhattisgarh," 2,104 "," 2,783 "," 4,025 "," 4,097 "," 13,008 ", 1 , 1 , 0 , 0 , 1 , 247 , 328 , 473 , 582 ," 1,630 ", 237 , 331 , 397 , 634 ," 1,599 ", 221 , 306 , 480 , 548 ," 1,555 ", 210 , 302 , 468 , 524 ," 1,504 ", 233 , 304 , 445 , 600 ," 1,582 ", 279 , 367 , 530 , 597 ," 1,774 ", 308 , 389 , 547 , 290 ," 1,534 ", 369 , 454 , 685 , 321 ," 1,829 "
23,Madhya Pradesh," 3,222 "," 4,764 "," 4,375 "," 3,183 "," 15,544 ", 0 , 0 , 0 , 0 , 1 , 404 , 626 , 655 , 426 ," 2,112 ", 392 , 567 , 533 , 414 ," 1,906 ", 355 , 577 , 588 , 407 ," 1,927 ", 364 , 586 , 499 , 425 ," 1,874 ", 417 , 599 , 492 , 366 ," 1,874 ", 416 , 614 , 490 , 370 ," 1,890 ", 424 , 578 , 561 , 398 ," 1,960 ", 450 , 616 , 557 , 377 ," 2,000 "
24,Gujarat," 11,568 "," 15,272 "," 16,605 "," 2,460 "," 45,905 ", 0 , 0 , 2 , 0 , 3 ," 1,330 "," 1,868 "," 2,603 ", 213 ," 6,015 "," 1,402 "," 1,877 "," 2,144 ", 298 ," 5,721 "," 1,401 "," 1,881 "," 2,287 ", 315 ," 5,883 "," 1,330 "," 1,748 "," 1,985 ", 324 ," 5,387 "," 1,387 "," 1,790 "," 1,894 ", 301 ," 5,372 "," 1,532 "," 2,061 "," 1,876 ", 310 ," 5,779 "," 1,591 "," 2,031 "," 1,809 ", 393 ," 5,823 "," 1,594 "," 2,016 "," 2,006 ", 306 ," 5,922 "
25,Daman and Diu, 65 , 99 , 757 , 0 , 922 , 0 , 0 , 0 , -   , 0 , 8 , 12 , 106 , 0 , 125 , 9 , 13 , 90 , 0 , 111 , 9 , 15 , 105 , 0 , 128 , 8 , 13 , 110 , 0 , 132 , 7 , 12 , 70 , 0 , 89 , 10 , 12 , 80 , 0 , 102 , 7 , 11 , 79 , 0 , 97 , 8 , 12 , 116 , 0 , 137 
26,Dadra and Nagar Haveli, 100 , 157 , 959 , 2 ," 1,218 ", 0 , 0 , 0 , -   , 0 , 10 , 21 , 126 , 0 , 158 , 12 , 20 , 149 , 0 , 181 , 14 , 20 , 131 , 0 , 164 , 12 , 18 , 123 , 0 , 153 , 13 , 19 , 112 , 0 , 144 , 15 , 22 , 113 , 0 , 149 , 12 , 19 , 106 , 0 , 137 , 13 , 19 , 98 , 0 , 131 
27,Maharashtra," 27,204 "," 36,396 "," 33,980 "," 7,606 "," 1,05,186 ", 1 , 1 , 5 , 0 , 8 ," 3,504 "," 4,856 "," 4,383 ", 847 ," 13,591 "," 3,382 "," 4,558 "," 4,162 ", 946 ," 13,048 "," 3,560 "," 4,939 "," 4,765 "," 1,056 "," 14,320 "," 3,207 "," 4,347 "," 3,866 ", 853 ," 12,273 "," 3,360 "," 4,361 "," 4,151 ", 938 ," 12,810 "," 3,264 "," 4,450 "," 4,657 ", 985 ," 13,357 "," 3,266 "," 4,297 "," 3,849 "," 1,037 "," 12,449 "," 3,660 "," 4,587 "," 4,140 ", 944 ," 13,331 "
29,Karnataka," 10,226 "," 14,696 "," 16,597 "," 6,619 "," 48,138 ", 0 , 0 , 2 , 0 , 2 ," 1,398 "," 2,107 "," 2,590 ", 880 ," 6,976 "," 1,364 "," 1,997 "," 1,941 ", 838 ," 6,140 "," 1,283 "," 1,922 "," 2,232 ", 811 ," 6,249 "," 1,151 "," 1,710 "," 1,755 ", 580 ," 5,196 "," 1,219 "," 1,685 "," 1,761 ", 903 ," 5,568 "," 1,258 "," 1,810 "," 2,049 ", 874 ," 5,991 "," 1,253 "," 1,714 "," 2,064 ", 988 ," 6,018 "," 1,299 "," 1,751 "," 2,204 ", 744 ," 5,997 "
30,Goa, 646 , 918 ," 1,189 ", 19 ," 2,772 ", 0 , 0 , 0 , 0 , 0 , 76 , 106 , 221 , 2 , 405 , 76 , 109 , 164 , 3 , 352 , 69 , 106 , 169 , 3 , 346 , 82 , 115 , 145 , 2 , 345 , 73 , 112 , 128 , 2 , 315 , 83 , 117 , 104 , 2 , 306 , 93 , 127 , 134 , 2 , 357 , 93 , 127 , 124 , 3 , 346 
31,Lakshadweep, 3 , 3 , 0 , -   , 7 ,,,,,, 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , -   , 1 , 0 , 0 , 0 , -   , 1 , 1 , 1 , 0 , -   , 2 , 0 , 0 , 0 , -   , 1 , 0 , 0 , 0 , -   , 1 , 1 , 1 , 0 , -   , 1 , 0 , 0 , 0 , -   , 1 
32,Kerala," 3,428 "," 5,491 "," 1,866 ", 71 ," 10,857 ", 0 , 0 , 0 , -   , 0 , 475 , 799 , 250 , 10 ," 1,534 ", 483 , 803 , 244 , 14 ," 1,543 ", 458 , 737 , 254 , 8 ," 1,457 ", 410 , 612 , 216 , 12 ," 1,250 ", 396 , 608 , 239 , 6 ," 1,249 ", 414 , 698 , 244 , 11 ," 1,368 ", 389 , 621 , 191 , 6 ," 1,207 ", 403 , 613 , 228 , 5 ," 1,249 "
33,Tamil Nadu," 10,838 "," 16,200 "," 14,033 "," 4,248 "," 45,318 ", 0 , 0 , 5 , 0 , 6 ," 1,505 "," 2,473 "," 2,219 ", 429 ," 6,626 "," 1,488 "," 2,221 "," 1,973 ", 503 ," 6,185 "," 1,457 "," 2,132 "," 1,914 ", 590 ," 6,093 "," 1,288 "," 1,913 "," 1,495 ", 540 ," 5,236 "," 1,230 "," 1,796 "," 1,461 ", 528 ," 5,014 "," 1,282 "," 1,889 "," 1,556 ", 588 ," 5,316 "," 1,250 "," 1,901 "," 1,650 ", 562 ," 5,363 "," 1,337 "," 1,874 "," 1,761 ", 507 ," 5,480 "
34,Puducherry, 155 , 246 , 910 , 6 ," 1,317 ", 0 , 0 , 0 , 0 , 0 , 20 , 36 , 152 , 1 , 208 , 20 , 33 , 132 , 0 , 184 , 20 , 32 , 91 , 1 , 144 , 21 , 32 , 122 , 0 , 174 , 17 , 28 , 116 , 0 , 161 , 21 , 31 , 110 , 2 , 163 , 18 , 28 , 92 , 1 , 139 , 20 , 28 , 95 , 1 , 144 
35,Andaman and Nicobar Island, 69 , 86 , 7 , 0 , 162 , 0 , 0 , 0 , -   , 0 , 3 , 4 , 0 , 0 , 8 , 12 , 13 , 1 , 0 , 26 , 8 , 10 , 1 , 0 , 19 , 10 , 12 , 1 , 0 , 23 , 6 , 8 , 1 , 0 , 15 , 6 , 8 , 1 , 0 , 15 , 8 , 11 , 1 , 0 , 20 , 16 , 20 , 1 , 0 , 37 
36,Telangana," 4,491 "," 6,537 "," 6,528 "," 3,789 "," 21,346 ", 0 , 0 , 2 , 0 , 3 , 543 , 841 , 930 , 445 ," 2,759 ", 566 , 803 , 863 , 485 ," 2,717 ", 565 , 848 , 854 , 492 ," 2,759 ", 497 , 751 , 802 , 394 ," 2,443 ", 520 , 741 , 715 , 513 ," 2,490 ", 586 , 857 , 768 , 526 ," 2,737 ", 571 , 794 , 748 , 526 ," 2,640 ", 642 , 904 , 847 , 407 ," 2,799 "
